text,response,task_type,task_name,sentiment
I had the flu that lasted a week.,"I'm sorry to hear that, I hope you're feeling better now.",old,general,['negative']
My aunt wants to visit but I'm nervous because my house is too small to host her for a week.,That sounds really tough. I know how you feel.,old,general,['negative']
"I couldn't figure out the new computer program, despite trying for hours.","Oh no, have you tried asking someone else for help?",old,general,['negative']
My friend's mother died over the weekend.,"I'm so sorry for her loss. If there's anything I can do to help, please let me know.",old,general,['negative']
My best friend just found out she has cancer.,I'm so sorry to hear that. How are you holding up?,old,general,['negative']
"I have to move out of my apartment by the end of the week, but I am not ready at all and feeling stressed.",I hope everything works out for you. Let me know if I can help in any way.,old,general,['negative']
"My landlord just sold the unit so I get to move out early, and find a bigger place, so I'm excited.","That's awesome and sounds exciting, do you know where you want to move to? ",old,general,['positive']
"My parents are coming to visit this weekend, I'm very excited.",That's great! Are you excited to spend time with them?,old,general,['positive']
My sister just got married and I was the maid of honor.,That's wonderful! How was the wedding?,old,general,['positive']
"My brother and I used to fight a lot when we were younger, which was stressful.",Siblings often have their disagreements. Have you two become closer now?,old,general,['negative']
"I have a big family gathering next month for my grandmother's birthday, and I'm looking forward to it.",That sounds like it will be a fun celebration! How old will your grandmother be?,old,general,['positive']
"My parents are divorced and it's hard to juggle between their houses, especially on holidays.",I can imagine that can be challenging. How do you manage your time between them?,old,general,['negative']
"I have a younger brother who always copies everything I do, it's so annoying.",Younger siblings tend to look up to their older siblings. How do you feel about it?,old,general,['negative']
"My family and I love going on vacations together, I'm glad we are so close.",That's wonderful! Where is your favorite vacation spot?,old,general,['positive']
My parents always support me in everything I do.,That's fantastic! Having supportive parents is really important. What are you currently working on?,old,general,['positive']
"I have an older sister who is my best friend, I love her.",That's great to have such a close bond with your sister. What do you enjoy doing together?,old,general,['positive']
"My family has a tradition of having a game night every Friday, it's great.",That sounds like a lot of fun! What games do you usually play?,old,general,['positive']
I'm excited because I just started learning how to play the guitar.,That's awesome! Learning to play an instrument can be a lot of fun. I hope you enjoy it!,old,general,['positive']
I love going hiking in the mountains.,Hiking in the mountains is such a great way to connect with nature. I'm glad you enjoy it!,old,general,['positive']
I enjoy reading mystery novels in my spare time.,That's fantastic! Mystery novels can be so captivating. Do you have any favorite authors?,old,general,['positive']
I'm really into photography and love taking pictures of landscapes.,That's so cool! Photography is a great way to capture beautiful moments and landscapes. Do you have a favorite location to shoot?,old,general,['positive']
I'm in a good mood because I am learning how to cook different types of cuisines.,"That's awesome! Cooking is a wonderful skill to have, and trying out different cuisines can be so much fun. What's your favorite dish to cook so far?",old,general,['positive']
"I enjoy playing video games in my free time, they relax me.",That's great! Video games can be a fantastic way to unwind and have some fun. What's your favorite game at the moment?,old,general,['positive']
I always love going to art galleries and exploring different art styles.,That's wonderful! Art galleries are a great way to appreciate different art styles and discover new artists. Do you have a favorite art movement?,old,general,['positive']
I'm a huge fan of watching and analyzing movies and I have a lot of friends who also love movies.,That's amazing! Movies can be so impactful and analyzing them can give you a deeper appreciation for the art of filmmaking. What's your favorite movie genre?,old,general,['positive']
I enjoy gardening and growing my own vegetables.,That's fantastic! Gardening is a wonderful hobby that allows you to connect with nature and enjoy the fruits of your labor. What vegetables do you grow?,old,general,['positive']
"I'm really passionate about fashion and love creating unique outfits, it's been fun.","That's so cool! Fashion is a great form of self-expression, and creating unique outfits is a wonderful way to showcase your personal style. Do you follow any fashion influencers for inspiration?",old,general,['positive']
I just came back from a wonderful vacation in Hawaii.,"Oh, that sounds amazing! What was your favorite part of the trip?",old,general,['positive']
I'm excitedly planning a road trip across Europe for next summer.,"Wow, that sounds like an incredible adventure! Do you have any specific countries or cities in mind that you want to visit?",old,general,['positive']
One of my favorite things is exploring new cultures and trying different cuisines while traveling.,That's wonderful! Food is such an important part of experiencing different cultures. Do you have any favorite dishes that you've tried?,old,general,['positive']
"I had a terrible experience with lost luggage on my last trip, it was horrible!","Oh no, that must have been so frustrating! Did you eventually get your luggage back or did you have to replace everything?",old,general,['negative']
"I'm thinking of going on a cruise for my next vacation, I'm excited because it will be my first time.",That sounds like a great idea! Where are you thinking of going?,old,general,['positive']
I got upgraded to a first-class seat on my flight!,Lucky you! How was the experience of flying first class? Did you enjoy the extra comfort and amenities?,old,general,['positive']
I prefer staying in cozy bed-and-breakfasts rather than big hotels. I love meeting the hosts,That's a great preference! Bed and breakfasts often provide a more intimate and personalized experience. Have you had any memorable stays at bed-and-breakfasts?,old,general,['positive']
I usually get really bad motion sickness while traveling by boat or plane.,I can understand why! Motion sickness can be quite uncomfortable. Have you found any remedies or strategies that help alleviate the symptoms?,old,general,['negative']
I love taking long walks and exploring the local neighborhoods when I travel.,That's a fantastic way to immerse yourself in the local culture! Have you discovered any hidden gems or interesting spots during your walks?,old,general,['positive']
I had an unforgettable encounter with a wild dolphin while snorkeling in the Maldives.,"Wow, that sounds like an incredible experience! Interacting with wildlife in their natural habitat is truly special. Did you manage to capture any photos or videos of the encounter?",old,general,['positive']
I had the best time last night watching an amazing movie.,That's great! What movie did you watch?,old,general,['positive']
I can't decide which TV show to watch next.,I understand. There are so many options out there. What genre do you prefer?,old,general,['neutral']
Do you have any recommendations for a good comedy movie?,Sure! Have you seen 'The Hangover' or 'Bridesmaids'? They are both hilarious.,old,general,['neutral']
I wasted my time binge-watching an entire TV series over the weekend.,"Oh no, sometimes taking the break can be needed though! Is there something you want to do differently next weekend?",old,general,['negative']
I'm a big fan of superhero movies.,That's awesome! Who is your favorite superhero?,old,general,['neutral']
Have you seen 'Game of Thrones'?,"Yes, I have! It was intense. What did you think of it?",old,general,['neutral']
I hate horror movies. They scare me too much. But my brother made me watch one last night unfortunately,"Yes, some horror movies can be really terrifying. Sorry that you had to watch it. What movies do you like more?",old,general,['negative']
I'm trying to find time to watch a documentary about wildlife.,That sounds interesting! Documentaries can be really informative and eye-opening.,old,general,['neutral']
"I cried during the ending of the movie 'The Notebook,' I loved it so much","Oh, I can relate. 'The Notebook' is such an emotional movie.",old,general,['positive']
I'm excited for the release of the next Marvel movie.,Me too! Marvel movies are always action-packed and full of surprises.,old,general,['positive']
I tried a new recipe for lasagna and it turned out amazing!,That's fantastic! Could you share the recipe with me?,old,general,['positive']
I burned the cookies I was baking for my family.,"Oh no! It happens to the best of us. Maybe try again, they'll turn out great next time!",old,general,['negative']
"I went to a fancy restaurant and tried escargot for the first time, I loved it.","Wow, good for you for trying something new! What did it taste like?",old,general,['positive']
I made a homemade pizza with fresh ingredients and it was delicious.,That sounds amazing! Homemade pizzas are the best. What toppings did you use?,old,general,['positive']
I accidentally added too much salt to the soup I was cooking.,Oops! That's happened to me before. You can try adding a potato to absorb the excess salt.,old,general,['negative']
I went to a food festival and had a great time trying many different types of cuisines.,That sounds like a food lover's dream! Which cuisine was your favorite?,old,general,['positive']
I made a vegan cake for my friend's birthday and they loved it.,That's wonderful! It's great to see vegan options being enjoyed by everyone. Do you have the recipe?,old,general,['positive']
I tried making sushi at home for the first time and it was a disaster.,"Oh no, sushi can be tricky to make! Don't worry, with practice, you'll get better at it.",old,general,['negative']
I visited a famous bakery and tried their incredible signature dessert.,That's awesome! What was the signature dessert and did it live up to the hype?,old,general,['positive']
"I hosted a dinner party and cooked a three-course meal for my friends, it was so wholesome.",Impressive! Your friends are lucky to have you. What dishes did you prepare?,old,general,['positive']
I just finished a marathon and I'm so proud of myself!,Congratulations! That's a huge accomplishment. How do you feel?,old,general,['positive']
I tried rock climbing for the first time yesterday and it was amazing!,That's awesome! Rock climbing can be such a thrilling experience. Did you find it challenging?,old,general,['positive']
"After playing basketball for hours, I sprained my ankle. It's so painful.",I'm sorry to hear that. Sprained ankles can be really painful. Have you seen a doctor?,old,general,['negative']
"I joined a yoga class to improve my flexibility and reduce stress, which I'm happy about.",That's a great decision! Yoga is known for its benefits in flexibility and stress reduction. How are you finding the class so far?,old,general,['positive']
I love watching soccer matches and cheering for my favorite team.,That's great! Soccer matches can be so exciting. Who's your favorite team?,old,general,['positive']
I injured my shoulder while weightlifting. Now I have to take a break from the gym.,I'm sorry to hear about your injury. Taking a break and allowing your shoulder to heal is important. Have you consulted a doctor or a physiotherapist?,old,general,['negative']
I started swimming last month and it has been a great way to stay fit.,That's wonderful! Swimming is an excellent full-body workout. How often do you go swimming?,old,general,['positive']
I'm training for a triathlon and it's challenging but rewarding.,That's impressive! Training for a triathlon requires dedication and hard work. How do you balance your training with other commitments?,old,general,['positive']
I play tennis every weekend with my friends. It's a fun way to stay active.,That sounds like a lot of fun! Tennis is a great sport for staying active and socializing. Do you have any favorite tennis players?,old,general,['positive']
I started doing CrossFit and it's been challenging but I'm loving it.,That's great! CrossFit is known for its intensity and effectiveness. How has it been challenging for you?,old,general,['positive']
I went to a concert last night and it was amazing!,That's great! Who did you see and what was your favorite part?,old,general,['positive']
I can't go to the music festival this weekend because I have to work.,"Oh, that's a bummer. Maybe you can catch the next one. What kind of music do you like?",old,general,['negative']
My favorite band just released a new album and I can't stop listening to it.,That's awesome! What do you like most about their new album?,old,general,['positive']
"I'm going to a piano recital tonight, but I'm nervous about performing in front of a big audience.","I understand why you might feel nervous, but I'm sure you'll do great! Just remember to enjoy the experience.",old,general,"['positive', 'neutral', 'negative']"
I attended a jazz concert last weekend and it was so relaxing.,That sounds wonderful! Did you have a favorite performance or musician?,old,general,['positive']
I'm learning to play the guitar and it's been challenging but rewarding.,That's great to hear! How long have you been playing and what motivated you to start?,old,general,['positive']
I unfortunately missed out on buying concert tickets because they sold out within minutes.,"Oh no, that's disappointing. Keep an eye out for future concerts, sometimes tickets become available again.",old,general,['negative']
I'm excited because I am going to a music workshop next week to learn more about songwriting.,That's fantastic! Songwriting can be such a creative and fulfilling process. Where is the workshop?,old,general,['positive']
I sang in a choir performance last night and it was a lot of fun.,That's wonderful! Singing in a choir can be such a joyful experience. Did you have a favorite song?,old,general,['positive']
I'm attending a music conference next month to network with other musicians.,That's a great opportunity to connect with like-minded individuals. What are you hoping to gain from the conference?,old,general,"['positive', 'neutral']"
"I started practicing yoga, it's been great for my health.",That's great! Yoga can have many benefits for both the body and mind.,old,general,['positive']
I've been feeling stressed lately.,"I understand, stress can be tough to deal with. Have you tried any relaxation techniques?",old,general,['negative']
"I'm trying to eat healthier, and it's been working.",That's a great goal! What changes are you making to your diet?,old,general,['positive']
I injured my knee while playing sports and it hurts.,"Oh no, I'm sorry to hear that. Have you seen a doctor or physiotherapist for it?",old,general,['negative']
I'm thinking of joining a new gym and am feeling excited.,That's a great idea! It can be a good way to stay active and meet new people.,old,general,['positive']
I'm trying to get better sleep to have more energy.,Getting enough quality sleep is important for overall well-being. Have you tried any relaxation techniques or established a bedtime routine?,old,general,"['positive', 'neutral']"
I've unfortunately been feeling low on energy lately.,I understand how that can be difficult. Have you considered getting a check-up to rule out any underlying health issues?,old,general,['negative']
"I've been meditating for a few minutes every day, it's been great.",That's fantastic! Meditation can have many positive effects on mental well-being. How are you practicing it?,old,general,['positive']
I've been feeling a lot of painful tension in my neck and shoulders.,That can be tough to deal with. Have you tried any stretching exercises or considered getting a massage?,old,general,['negative']
"I'm trying to incorporate more fruits and vegetables into my meals, and it's been fun.",That's a great initiative! Fruits and vegetables are packed with nutrients and can have many health benefits.,old,general,['positive']
I went on a date last night and it was a disaster.,"Oh no, what happened? Did something go wrong?",old,general,['negative']
My best friend and I had a big fight and now we're not talking.,That's really tough. I hope you two can work things out soon.,old,general,['negative']
I just got engaged and I'm so excited!,Congratulations! That's such wonderful news. I'm really happy for you.,old,general,['positive']
I had a heart-to-heart conversation with my sibling and it brought us closer.,That's great to hear. Open and honest communication is so important in relationships.,old,general,['positive']
My partner surprised me with a romantic weekend getaway.,"Wow, that sounds amazing! What a thoughtful gesture from your partner.",old,general,['positive']
I had a falling out with my best friend and now I feel so lonely.,I'm really sorry to hear that. Losing a close friend can be really difficult.,old,general,['negative']
I helped my sibling through a tough time and it made our bond stronger.,That's wonderful. Helping each other during tough times can really strengthen relationships.,old,general,['positive']
I had a misunderstanding with my partner and we had a long helpful conversation to resolve it.,Good for you for addressing the issue. Communication is key in resolving misunderstandings.,old,general,['positive']
My friend betrayed my trust and it's been really hard to forgive them.,Betrayal is never easy to deal with. It takes time to heal and rebuild trust.,old,general,['negative']
I met someone new and we instantly clicked. It feels like we've known each other forever.,That's amazing! It's rare to find that instant connection with someone. Enjoy getting to know each other.,old,general,['positive']
I recently visited an art gallery and I was mesmerized by the beautiful paintings.,That sounds like a wonderful experience. Did you have a favorite painting?,old,general,['positive']
I attended a live music concert and the atmosphere was electric.,That must have been an incredible experience. Which artist performed at the concert?,old,general,['positive']
I'm thinking of taking up photography as a hobby to get closer with my brother.,That's a fantastic idea! Photography can be a great way to express your creativity. What type of subjects do you plan to capture?,old,general,"['positive', 'neutral']"
I recently watched a documentary about famous painters and it was very inspiring.,Documentaries can be a great source of inspiration. Which painter did the documentary focus on?,old,general,['positive']
I attended a pottery workshop and had so much fun creating my own ceramic piece.,That's amazing! Pottery can be a therapeutic and creative activity. What type of ceramic piece did you make?,old,general,['positive']
I visited an art museum and was fascinated by the sculptures on display.,Art museums can be a treasure trove of beautiful sculptures. Which sculpture caught your attention the most?,old,general,['positive']
I participated in a street art workshop and learned some amazing graffiti techniques.,That's so cool! Street art can be a unique and expressive form of art. What kind of graffiti techniques did you learn?,old,general,['positive']
I went to a theater performance and was blown away by the incredible acting skills of the cast.,That's fantastic! Live theater can be a captivating experience. Which play did you watch?,old,general,['positive']
I recently started writing poetry and it has become a therapeutic outlet for me.,That's wonderful! Poetry can be a beautiful way to express emotions. Do you have a favorite poem that you've written?,old,general,['positive']
"I'm planning to visit an art fair this weekend to see the works of different artists, I;m excited.",That's exciting! Art fairs are a great way to discover new artists and their creations. Are there any particular artists you're looking forward to seeing?,old,general,['positive']
I went hiking in the mountains last weekend and saw the most beautiful waterfall.,"Wow, that sounds amazing! I love exploring nature and discovering hidden gems like waterfalls.",old,general,['postiive']
I planted a tree in my backyard and can't wait to see it grow.,That's awesome! Planting trees is a great way to contribute to the environment and create a greener space around you.,old,general,['positive']
I visited a national park and witnessed a breathtaking sunset.,"Oh, I can only imagine how stunning that must have been! National parks offer some of the most picturesque views, especially during sunset.",old,general,['positive']
I went camping near a lake and had the most peaceful experience.,That sounds so serene! Camping near a lake is a great way to escape the hustle and bustle of daily life and connect with nature.,old,general,['positive']
I saw a flock of birds migrating overhead and it was a mesmerizing sight.,How incredible! Witnessing the beauty of bird migration is truly a remarkable experience. Nature never ceases to amaze me.,old,general,['positive']
"I visited a botanical garden and was surrounded by an array of colorful flowers, it was so pretty.","Oh, I love botanical gardens! Being surrounded by vibrant flowers can be so uplifting and refreshing. It must have been a delightful visit.",old,general,['positive']
"I went on a whale-watching tour and saw several majestic whales, it was amazing.",That's incredible! Observing whales in their natural habitat is a once-in-a-lifetime experience. It must have been awe-inspiring.,old,general,['positive']
I planted a vegetable garden and just got to harvest my first batch of fresh produce.,Congratulations on your green thumb! There's nothing quite like the satisfaction of growing your own food. Enjoy the delicious harvest!,old,general,['positive']
I went snorkeling in a coral reef and saw an incredible variety of marine life.,"Oh, I'm so jealous! Exploring coral reefs and witnessing the underwater world is a dream come true. It must have been an unforgettable experience.",old,general,['positive']
I volunteered for a beach cleanup and it felt great to contribute to the environment.,That's wonderful! It's heartwarming to see people actively working to keep our beaches clean and protect marine life. Your efforts make a difference.,old,general,['positive']
I've wanted to learn how to play the piano for years.,That's awesome! Playing the piano can be a great way to express yourself. Have you started taking lessons?,old,general,"['positive', 'neutral']"
My goal is to travel the world and experiencing different cultures.,That sounds amazing! There's so much to explore and learn from different cultures. Do you have any specific destinations in mind?,old,general,"['positive', 'neutral']"
I want to start my own business and be my own boss one day.,That's a great aspiration! Being an entrepreneur can be challenging but rewarding. Do you have any business ideas in mind?,old,general,"['positive', 'neutral']"
"I've been working on improving my cooking skills, it's been going well.",That's fantastic! Cooking is a valuable skill to have. Have you tried any new recipes recently?,old,general,['positive']
"I aim to run a marathon by the end of this year, I'm feeling inspired.",That's impressive! Running a marathon requires dedication and training. Have you been following a specific training plan?,old,general,['positive']
I've always wanted to write a book and am so glad to be starting.,That's wonderful! Writing a book can be a fulfilling creative endeavor. What genre or topic are you writing about?,old,general,['positive']
I'm determined to learn a new language this year.,That's fantastic! Learning a new language opens up a whole new world of opportunities. Which language are you interested in learning?,old,general,"['positive', 'neutral']"
"I've been saving money to buy my own house, it's been fantastic.",That's great! Buying a house is a big accomplishment. How close are you to reaching your savings goal?,old,general,['positive']
I want to learn how to code and build my own website. It's a goal I'm really looking forward to,That's awesome! Coding skills are in high demand and building your own website can be a great way to showcase your work. Have you started learning any programming languages?,old,general,['positive']
"I'm determined to live a healthier lifestyle and exercise regularly, I'm proud of myself.",That's fantastic! Taking care of your health is important. Have you started incorporating any specific exercises or activities into your routine?,old,general,['positive']
"When I was a child, I used to get scared of thunderstorms.","Oh, thunderstorms can be really scary, especially for kids. How did you cope with that fear?",old,general,"['neutral', 'negative']"
"Every time I think about my childhood, I remember the fun adventures my friends and I used to have.",Those adventures must have been so exciting! Can you share one of your favorite memories?,old,general,['positive']
It makes me sad to think about how I used to get really anxious before going to school when I was young.,"Anxiety can be tough, especially for children. How did you manage to overcome that anxiety?",old,general,['negative']
My favorite childhood memory is when my family went on a road trip across the country.,Road trips are always so much fun! What was your favorite place that you visited during that trip?,old,general,['positive']
I used to get really excited when my grandparents came to visit us during the holidays.,It's always so special to spend time with grandparents. What was your favorite activity to do with them?,old,general,['positive']
I had a big fight with my best friend when we were kids.,Friendship fights can be tough. How did you eventually resolve the conflict?,old,general,['negative']
I have good memories of my family going camping in the mountains.,Camping trips are always so much fun! What was your favorite camping activity?,old,general,['positive']
I used to feel lonely when my siblings would go out to play without me.,Feeling left out can be tough. How did you find ways to keep yourself occupied during those times?,old,general,['negative']
I have fond memories of baking cookies with my mom when I was a child.,Baking cookies with loved ones is always special. What was your favorite type of cookie to bake?,old,general,['positive']
I used to get really scared of the dark when I was a child.,Fear of the dark is common for many kids. How did you overcome that fear?,old,general,"['neutral', 'negative']"
I finally graduated from college after years of hard work.,Congratulations! What was your major?,old,general,['positive']
I just completed my first marathon.,That's amazing! How did you train for it?,old,general,['positive']
I won the first prize in a national photography competition.,Wow! Your photography skills must be exceptional. Can I see your winning photo?,old,general,['positive']
I published my first book and it's receiving great reviews.,That's fantastic! What is your book about?,old,general,['positive']
I just got promoted to a managerial position at work.,Congratulations on your promotion! What are your new responsibilities?,old,general,['positive']
I successfully completed a challenging hiking trail.,That's impressive! Which trail did you conquer?,old,general,['positive']
I reached my weight loss goal and lost 20 pounds.,Well done! How did you achieve your weight loss goal?,old,general,['positive']
I received a scholarship to study abroad for a semester!,That's fantastic news! Which country are you planning to study in?,old,general,['positive']
I successfully completed a coding bootcamp and landed a job as a software engineer.,Congratulations on your achievement! Which programming languages did you learn during the bootcamp?,old,general,['positive']
I ran my first half-marathon and finished in under two hours.,That's impressive! How did you prepare for the race?,old,general,['positive']
"I just got my paycheck, I'm so excited.",That's great! Is there anything new you're excited to purchase?,old,general,['positive']
I need to pay my rent this week.,Do you have enough money saved up for it?,old,general,['neutral']
I'm thinking about investing in the stock market.,That's a great idea! Have you done any research on potential investments?,old,general,"['positive', 'neutral']"
I just received a huge tax refund.,That's awesome! How are you planning to use the money?,old,general,['positive']
I'm having trouble managing my credit card debt.,I understand. Have you considered contacting a financial advisor for guidance?,old,general,['negative']
I'm planning to buy a new car and am so excited!,That's exciting! Have you looked into different financing options?,old,general,['positive']
I just received a bonus at work.,Congratulations! How do you plan to celebrate or use the extra money?,old,general,['positive']
I'm considering opening a savings account.,That's a smart move! It can help you save for future goals. Have you looked into different banks?,old,general,"['positive', 'neutral']"
I finally just paid off my student loans.,That's a huge accomplishment! How does it feel to be debt-free?,old,general,['positive']
"I'm thinking about starting a new, exciting side business.",That's exciting! What kind of business are you considering?,old,general,['positive']
I can't wait to travel the world and see all the beautiful places.,That sounds amazing! I hope you have many unforgettable experiences.,old,general,['positive']
I dream of starting my own business one day.,That's a great goal! I wish you all the success in making your dream come true.,old,general,"['positive', 'neutral']"
I've always wanted to learn how to play a musical instrument.,That's wonderful! Music can bring so much joy and fulfillment to your life.,old,general,"['positive', 'neutral']"
My ultimate dream is to write a bestselling novel.,That's an incredible aspiration! I hope you find the inspiration to create a captivating story.,old,general,"['positive', 'neutral']"
"I've been saving up to buy my dream car, it's been a great exercise in determination",That's fantastic! I can only imagine the excitement of owning your dream car.,old,general,['positive']
"I'm planning to climb Mount Everest someday, and am feeling so inspired.","Wow, that's quite an ambitious goal! I admire your determination. Just make sure to stay safe and prepared.",old,general,['positive']
I've always dreamed of living in a beachfront house.,That sounds like paradise! I hope your dream of living by the beach becomes a reality.,old,general,"['positive', 'neutral']"
"I've recently decide to pursue a career in medicine and help people, and could not be happier.",That's a noble career choice! The world needs more compassionate and skilled healthcare professionals.,old,general,['positive']
I dream of having a big family and creating beautiful memories together.,That's a lovely dream! I hope you have a wonderful journey of building a loving and joyful family.,old,general,['positive']
"I'm planning to travel to all 7 continents in my lifetime, I can't wait!",That's an incredible goal! I hope you get to experience the diverse cultures and landscapes of each continent.,old,general,['positive']
I've been feeling really stressed out lately.,It's important to take time for self-care and find healthy ways to manage stress. Have you tried deep breathing exercises or going for a walk?,old,general,['negative']
"I can't seem to concentrate on anything, I'm so frustrated.","Lack of concentration can be frustrating. Have you tried breaking your tasks into smaller, manageable chunks or practicing mindfulness?",old,general,['negative']
I feel overwhelmed with all the responsibilities I have.,"Feeling overwhelmed is common, but remember to prioritize your tasks and ask for help if needed. It's important to take breaks and practice self-care.",old,general,['negative']
"I'm having trouble sleeping at night, it's awful.","Trouble sleeping can be tough. Have you tried establishing a bedtime routine, avoiding caffeine, or creating a calm sleep environment?",old,general,['negative']
"I feel really anxious before social events, I hate it.","Social anxiety can be challenging, but remember that many people feel the same way. Practice deep breathing and positive self-talk to manage your anxiety.",old,general,['negative']
I've been feeling down and lacking motivation lately.,Feeling down and lacking motivation can be tough. It's important to reach out to loved ones or a professional for support and find activities that bring you joy.,old,general,['negative']
I'm finding it hard to manage my time effectively.,"Time management can be challenging, but try creating a schedule, setting goals, and breaking tasks into smaller steps. Don't forget to take breaks and practice self-care.",old,general,['negative']
I'm feeling overwhelmed and burnt out at work.,"Feeling overwhelmed and burnt out is common in the workplace. It's important to communicate your needs, set boundaries, and prioritize self-care to prevent burnout.",old,general,['negative']
I'm struggling with body image issues.,Struggling with body image can be challenging. Remember that your worth is not determined by your appearance. Surround yourself with positive influences and practice self-love.,old,general,['negative']
I feel like I'm constantly comparing myself to others.,Comparing yourself to others can be harmful. Remember that everyone has their own journey and focus on your own progress and accomplishments. Practice self-compassion.,old,general,['negative']
I've been doing yoga every morning to stay fit.,That's great! Yoga is an excellent way to improve flexibility and reduce stress.,old,general,['positive']
"I signed up for a spin class at the gym, it was awesome",Spin classes are intense but really effective. You'll definitely feel the burn!,old,general,['positive']
I can't seem to find the motivation to workout lately.,It's normal to have ups and downs in motivation. Try finding a workout buddy or changing up your routine to get inspired again!,old,general,['negative']
I injured my knee while jogging yesterday.,I'm sorry to hear that. Make sure to rest and consult a doctor if the pain persists.,old,general,['negative']
I want to start weightlifting but don't know where to begin yet.,Weightlifting is a great way to build strength. You may want to consider hiring a personal trainer to guide you through proper form and technique.,old,general,"['positive', 'neutral', 'negative']"
I love going for long hikes on the weekends.,Hiking is a fantastic way to enjoy nature and get some exercise. Keep exploring those trails!,old,general,['positive']
"I've been doing HIIT workouts to maximize calorie burn, I love them.",High-Intensity Interval Training is an excellent way to burn calories and boost your metabolism. Keep up the good work!,old,general,['positive']
I find it hard to stick to a consistent workout routine.,Consistency is key when it comes to fitness. Try setting specific goals and creating a schedule to help you stay on track.,old,general,"['neutral', 'negative']"
I'm feeling excited about trying out a Zumba class.,Zumba is a fun and energetic way to get your heart rate up. Give it a go and enjoy the dance party!,old,general,['positive']
"I injured my shoulder while lifting weights, it is horrible.",I'm sorry to hear that. Make sure to rest and focus on proper form when you recover. Consider consulting a physical therapist for guidance.,old,general,['negative']
I can't stop listening to my favorite song. It's so catchy!,What's your favorite song? I'd love to give it a listen!,old,general,['positive']
I'm so tired of hearing the same songs on the radio.,I feel the same way! Do you have any recommendations for new music?,old,general,['negative']
I always love creating a playlist for road trips. It sets the mood perfectly!,That sounds like a great idea! What kind of music do you usually include in your road trip playlist?,old,general,['positive']
I'm in the mood for some relaxing music. Any suggestions?,How about trying some classical or instrumental music? It can be really soothing.,old,general,['neutral']
I really love discovering new songs and artists.,That's awesome! How do you usually discover new music? Any favorite platforms or methods?,old,general,['positive']
I enjoy listening to music while I work. It helps me concentrate.,I'm the same way! What genre or artist do you usually prefer when working?,old,general,['positive']
I love attending live concerts. The energy is incredible!,There's nothing quite like the atmosphere of a live concert. What was the best concert you've been to?,old,general,['positive']
I enjoy creating themed playlists for different occasions.,That sounds fun! What's an example of a themed playlist you've created?,old,general,['positive']
I can't get enough of this new artist I discovered. Their music is amazing!,That's great! What's the name of the artist? I'd love to check them out.,old,general,['positive']
"I just booked a trip to Paris, my favorite city in the world!",That's amazing! Paris is such a beautiful city. Are you excited?,old,general,['positive']
